cod_5;nome_5;descr_5
1.1.1.1.0;Membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare;Le professioni classificate in questa unità definiscono, discutono e approvano leggi, regolamenti e statuti validi sull’intero territorio nazionale, definiscono e implementano le politiche di governo individuando e allocando le risorse necessarie alla loro realizzazione.
1.1.1.2.0;Membri di organismi di governo e di assemblee regionali e di Province autonome con potestà legislativa e regolamentare;Le professioni classificate in questa unità applicano sul territorio leggi nazionali e, negli ambiti previsti dall’organizzazione dello Stato, definiscono, discutono e approvano leggi, regolamenti e statuti validi sul territorio regionale e delle Province autonome, definiscono e implementano le politiche di governo locale individuando e allocando le risorse necessarie alla loro realizzazione.
1.1.1.3.0;Membri di organismi di governo e di assemblee provinciali con potestà regolamentare;Le professioni classificate in questa unità applicano sul territorio leggi nazionali e locali e, negli ambiti previsti dall’organizzazione dello Stato e della Regione di appartenenza, definiscono, discutono e approvano regolamenti e statuti validi sul territorio provinciale, definiscono e implementano le politiche di governo locale individuando e allocando le risorse necessarie alla loro realizzazione.
1.1.1.4.0;Membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare;Le professioni classificate in questa unità applicano sul territorio leggi nazionali e locali e, negli ambiti previsti dall’organizzazione dello Stato, della Regione e della Provincia di appartenenza, definiscono, discutono e approvano regolamenti e statuti validi sul territorio comunale o sub-provinciale, definiscono e implementano le politiche di governo locale individuando e allocando le risorse necessarie alla loro realizzazione.
1.1.2.1.0;Ambasciatori, ministri plenipotenziari ed alti dirigenti della carriera diplomatica;Le professioni classificate in questa unità agiscono per conto dello Stato e del governo e li rappresentano presso altri Stati e presso le organizzazioni internazionali, tutelano gli interessi nazionali e i diritti dei concittadini all’estero e, nei casi previsti dalla legge, garantiscono la vigilanza sulle attività di organismi nazionali operanti all’estero e svolgono funzioni amministrative sussidiarie.
1.1.2.2.1;Commissari di governo, prefetti e vice prefetti;"Le professioni classificate in questa unità assicurano e garantiscono sul territorio l’unitarietà e l’efficacia delle politiche di governo e dell’azione delle amministrazioni periferiche dello Stato, coordinando attività e funzioni di queste ultime con quelle delle amministrazioni locali; rappresentano il governo sul territorio."
1.1.2.2.2;Capi e vice capi della polizia di Stato, questori ed alti responsabili della sicurezza pubblica;Le professioni classificate in questa unità sovrintendono alle attività degli organi di pubblica sicurezza e di protezione civile e adottano misure volte a garantire la sicurezza dei cittadini.
1.1.2.2.3;Segretari generali e responsabili del controllo e della gestione nella amministrazione pubblica;Le professioni classificate in questa unità collaborano con gli organi dello Stato e delle amministrazioni locali fornendo assistenza giuridico-amministrativa al fine di assicurare la conformità dell’azione amministrativa nazionale e locale alle leggi, agli statuti ed ai regolamenti vigenti.
1.1.2.3.1;Direttori degli uffici scolastici territoriali ed equiparati;Le professioni classificate in questa unità sovrintendono e garantiscono sul territorio, in collaborazione con le amministrazioni locali e gli organismi territoriali preposti, l’attuazione degli ordinamenti scolastici e il raggiungimento degli standard educativi programmati, fornendo assistenza alle istituzioni scolastiche e assegnando loro le risorse umane e finanziarie necessarie.
1.1.2.3.2;Sovrintendenti al patrimonio culturale nazionale;Le professioni classificate in questa unità attuano sul territorio gli indirizzi in materia di tutela, salvaguardia e conservazione dei beni storico-artistici, archeologici, architettonici, paesaggistici e archivistici vigilando sull’osservanza delle leggi in materia di tutela da parte di soggetti pubblici e privati detentori dei suddetti beni, proponendo priorità nell'allocazione delle risorse e promuovendo iniziative per il recupero e la valorizzazione.
